iter	RMSE
0	7.957566335
1	7.390602309
2	6.870144583
3	6.387752568
4	5.938286812
5	5.520733639
6	5.130566286
7	4.776781834
8	4.447350349
9	4.142225143
10	3.855719432
11	3.590601931
12	3.343488995
13	3.116302043
14	2.905333979
15	2.707721013
16	2.528127494
17	2.359703731
18	2.200443165
19	2.055554494
20	1.922386662
21	1.800600704
22	1.684598619
23	1.578781498
24	1.481564055
25	1.391362007
26	1.310012508
27	1.234345835
28	1.165420168
29	1.104526839
30	1.044752179
31	0.9919335228
32	0.9434968622
33	0.8999134414
34	0.8590122514
35	0.8231622232
36	0.7893357797
37	0.759156159
38	0.731769429
39	0.7085964957
40	0.6861394343
41	0.6654647524
42	0.6469473224
43	0.6305407352
44	0.6160365391
45	0.6031986547
46	0.590978339
47	0.5798196403
48	0.5701164943
49	0.5614970011
50	0.5530644592
51	0.5457259645
52	0.5387929716
53	0.5322867845
54	0.526923501
55	0.521532336
56	0.5165605907
57	0.5112083964
58	0.5068610015
59	0.5027182064
60	0.4990386182
61	0.4953608038
62	0.4912151626
63	0.4874712524
64	0.4844397727
65	0.4814313928
66	0.4788722169
67	0.4758959815
68	0.4732763013
69	0.4705568416
70	0.4678980306
71	0.4657724595
72	0.4639754531
73	0.4620184797
74	0.4599876129
75	0.4582624087
76	0.4567478212
77	0.4551365622
78	0.4532977164
79	0.4518210564
80	0.4498561292
81	0.4476563728
82	0.4458387974
83	0.4439878745
84	0.4426996756
85	0.4408711451
86	0.4388165439
87	0.4379056869
88	0.4361843529
89	0.4347678712
90	0.4333714898
91	0.4324678447
92	0.4315843233
93	0.4306156502
94	0.429261082
95	0.4282605845
96	0.4271912397
97	0.4258793153
98	0.4242297257
99	0.4231907042
100	0.4218081678
101	0.4206191768
102	0.4193495819
103	0.4184865192
104	0.4172523484
105	0.4160429492
106	0.4149202147
107	0.4140101298
108	0.4130529644
109	0.412183928
110	0.4114160684
111	0.4102341403
112	0.4091585064
113	0.4085935508
114	0.4074904084
115	0.406957479
116	0.4061025054
117	0.4052059052
118	0.4039775571
119	0.4031077551
120	0.4023071663
121	0.401252089
122	0.4004365449
123	0.3987222889
124	0.3977814116
125	0.3968535991
126	0.3961365622
127	0.3954377423
128	0.3945883655
129	0.3938885634
130	0.3932321709
131	0.3926146571
132	0.3917829562
133	0.3908985231
134	0.3905100393
135	0.3896449693
136	0.3892560129
137	0.3887725186
138	0.3878913671
139	0.3872086493
140	0.3862695286
141	0.3857687475
142	0.3849928713
143	0.3841836323
144	0.3836132176
145	0.3822237693
146	0.3807665058
147	0.3804442203
148	0.3793926503
149	0.3786208287
150	0.3772251887
151	0.3767024296
152	0.3754297151
153	0.3748221479
154	0.3742821987
155	0.3737901224
156	0.3732160696
157	0.3721316066
158	0.3714095039
159	0.3700040871
160	0.3688223868
161	0.3682396279
162	0.3678200428
163	0.3667370104
164	0.3664021855
165	0.3659244441
166	0.3653807732
167	0.365040994
168	0.3643857697
169	0.3638117231
170	0.3632965983
171	0.3624519014
172	0.3616203938
173	0.3610208166
174	0.3606469948
175	0.3601053953
176	0.3590316011
177	0.3582086888
178	0.3574970787
179	0.3570720663
180	0.3562403475
181	0.3551481438
182	0.3546700314
183	0.3538984793
184	0.3529695588
185	0.352565647
186	0.3521718611
187	0.3513656534
188	0.350696121
189	0.3497273915
190	0.3490751192
191	0.3481672359
192	0.3475692838
193	0.3467958072
194	0.3459979684
195	0.3456106943
196	0.3453303709
197	0.3446010157
198	0.3442202933
199	0.3437494915
200	0.3433424779
201	0.3427264237
202	0.3423280195
203	0.3417928726
204	0.3412902639
205	0.340968921
206	0.3401696144
207	0.3399057785
208	0.3390142709
209	0.3383188512
210	0.337962417
211	0.3372922656
212	0.3369877554
213	0.3364522522
214	0.3358166415
215	0.3351861949
216	0.334845177
217	0.3344590526
218	0.3342025471
219	0.3335521948
220	0.3332619445
221	0.3326692608
222	0.3320320173
223	0.3316072193
224	0.3312160459
225	0.3309806219
226	0.3305952029
227	0.3303532854
228	0.3300398105
229	0.3294426017
230	0.3288387303
231	0.3285281363
232	0.3278062147
233	0.3273078522
234	0.3269081735
235	0.3266358225
236	0.3262460761
237	0.3258005479
238	0.325366807
239	0.324863494
240	0.3245901952
241	0.3243547336
242	0.3237487721
243	0.3233027241
244	0.3231215147
245	0.3224485085
246	0.3219645352
247	0.3215960067
248	0.3212173736
249	0.3209317528
250	0.3205479023
251	0.3202885112
252	0.3200780714
253	0.3197472166
254	0.3191985068
255	0.3187024988
256	0.3183188946
257	0.3180379839
258	0.3177361081
259	0.317521301
260	0.3168359259
261	0.3165876472
262	0.3161369006
263	0.3156888071
264	0.3153734138
265	0.3151606697
266	0.3148604474
267	0.3146117395
268	0.3143838094
269	0.3141226813
270	0.3135661535
271	0.3132701452
272	0.3128597489
273	0.31254238
274	0.3122224032
275	0.31200618
276	0.3117916607
277	0.3113719921
278	0.3110906365
279	0.3108918873
280	0.3107040605
281	0.310344839
282	0.3097909218
283	0.3091269256
284	0.308574159
285	0.3083381384
286	0.3079182918
287	0.3075810379
288	0.3073685293
289	0.3071332847
290	0.3069080369
291	0.3067071948
292	0.3062836058
293	0.3059475337
294	0.30558379
295	0.3052993868
296	0.3049957495
297	0.3048130386
298	0.3045951192
299	0.3042390577
300	0.3039437344
301	0.3037177761
302	0.3032297005
303	0.302814248
304	0.3024116531
305	0.3022788423
306	0.3020669362
307	0.3018075674
308	0.3014559792
309	0.3012377439
310	0.3009362482
311	0.3006882037
312	0.3005067179
313	0.3002299502
314	0.2999201985
315	0.2997284521
316	0.2992736546
317	0.2990691194
318	0.2987947621
319	0.2984711058
320	0.2982660091
321	0.2980106914
322	0.2978845165
323	0.2977363802
324	0.2975317782
325	0.2970985029
